room_w,room_h,sofa_w,sofa_h,table_w,table_h,chair_w,chair_h,sofa_x,sofa_y,table_x,table_y,chair_x,chair_y
7.8,8.4,2.8,1.6,1.4,1.8,0.8,1.1,5.0,3.5728085773364544,3.2,3.3000000000000003,3.2,1.7000000000000002
9.2,6.9,1.1,2.3,1.7,1.9,0.7,1.2,8.1,2.4954818443193933,3.7499999999999996,2.5,5.949999999999999,2.5
8.7,8.0,2.5,1.4,1.3,1.8,1.2,0.6,5.358664392543133,6.6,3.6999999999999997,3.1,2.0,3.1
7.3,7.5,1.7,1.0,1.5,1.0,1.5,0.9,0.06852635221978609,0.0,2.9,3.25,4.9,3.25
8.1,8.3,2.2,1.2,1.7,1.8,0.8,1.1,1.1922760978995817,7.1000000000000005,3.1999999999999997,3.2500000000000004,3.1999999999999997,1.6500000000000004
5.2,7.8,1.9,2.2,1.3,1.6,0.7,1.1,0.0,5.505878145412213,1.9500000000000002,3.0999999999999996,1.9500000000000002,5.199999999999999
7.1,9.7,1.1,1.5,1.8,1.6,1.5,1.2,5.627102185445751,8.2,2.65,4.05,0.6499999999999999,4.05
9.8,6.3,1.4,1.1,1.5,1.5,1.5,0.5,0.0,0.15612699357388043,4.15,2.4,2.1500000000000004,2.4
5.4,8.0,2.9,2.4,1.3,1.0,1.2,0.5,2.172803544463102,5.6,2.0500000000000003,3.5,2.0500000000000003,2.5
8.3,8.2,2.0,1.6,1.8,1.2,1.0,1.1,0.0,0.7149806573545322,3.2500000000000004,3.4999999999999996,1.7500000000000004,3.4999999999999996
6.6,6.4,2.9,1.5,1.4,1.5,1.2,1.1,0.028692547054437408,0.0,2.5999999999999996,2.45,4.5,2.45
9.9,7.7,2.4,1.2,1.8,1.2,0.9,1.0,1.6349208343530586,0.0,4.05,3.25,6.35,3.25
8.2,8.2,1.6,1.4,1.4,1.4,1.0,0.7,0.0,1.2327366258291896,3.3999999999999995,3.3999999999999995,1.8999999999999995,3.3999999999999995
8.4,8.5,2.4,2.5,1.8,1.8,1.4,1.3,4.479005898022187,0.0,3.3000000000000003,3.35,5.6000000000000005,3.35
6.4,8.0,1.7,1.6,1.7,1.2,1.0,1.2,4.7,1.3140960367336278,2.35,3.4,2.35,1.7000000000000002
5.7,9.2,1.2,2.0,1.4,1.9,1.4,1.4,4.323206227770928,0.0,2.1500000000000004,3.6499999999999995,2.1500000000000004,1.7499999999999996
7.3,6.3,1.2,1.4,1.8,1.5,1.1,1.5,6.1,3.4202610908890883,2.75,2.4,1.15,2.4
6.0,10.0,2.8,1.6,1.2,1.8,1.0,0.9,3.2,5.2521528722149515,2.4,4.1,4.1,4.1
6.1,7.5,1.4,2.3,1.9,1.4,1.3,0.6,0.0,4.851951032039291,2.0999999999999996,3.05,0.2999999999999996,3.05
6.9,7.9,1.2,2.0,1.7,1.3,0.9,1.4,2.806433488765753,5.9,2.6,3.3000000000000003,2.6,1.4000000000000004
7.0,5.1,2.9,1.0,1.8,1.9,0.8,0.9,2.009704230179878,0.0,2.6,1.5999999999999999,2.6,0.19999999999999984
5.0,6.2,2.8,2.9,1.1,1.1,1.5,0.6,2.2,0.7947544919861278,1.95,2.55,1.95,4.15
5.9,5.7,2.6,1.7,1.5,1.0,0.5,1.4,3.3000000000000003,2.116022273799643,2.2,2.35,2.2,0.4500000000000002
7.7,7.4,1.1,1.1,1.1,1.2,1.0,0.8,6.6,3.205988322174945,3.3,3.1,1.7999999999999998,3.1
6.9,5.1,2.3,2.6,1.6,1.0,1.0,1.5,1.5134400141687574,2.4999999999999996,2.6500000000000004,2.05,4.75,2.05
9.7,7.8,1.1,1.1,1.9,1.4,1.3,0.9,8.6,5.840006043166428,3.8999999999999995,3.2,3.8999999999999995,5.1
7.2,9.3,1.0,2.2,1.1,1.9,0.5,1.4,0.0,5.130420460420581,3.05,3.7,3.05,6.1
5.7,8.0,2.1,2.5,1.8,1.9,0.9,0.9,2.6182272857614155,0.0,1.9500000000000002,3.05,0.5500000000000003,3.05
6.4,6.0,2.6,1.1,1.6,1.5,1.1,1.2,3.8000000000000003,0.35645641642924203,2.4000000000000004,2.25,4.5,2.25
8.1,7.2,3.0,1.4,1.3,1.6,1.5,1.3,0.0,5.04040282683555,3.4,2.8,5.2,2.8
6.8,5.2,2.3,2.7,1.0,1.8,1.3,0.7,4.120804363012808,0.0,2.9,1.7000000000000002,2.9,4.0
6.4,5.4,1.4,2.0,1.5,2.0,1.2,0.8,5.0,1.7337342256660482,2.45,1.7000000000000002,4.45,1.7000000000000002
8.1,9.5,2.9,2.9,1.1,1.6,0.8,0.9,1.1205070380195092,6.6,3.5,3.95,3.5,6.050000000000001
7.0,7.9,2.1,2.7,1.6,1.5,1.5,1.0,3.446777378459306,5.2,2.7,3.2,2.7,5.2
9.3,9.3,2.4,1.2,1.4,1.5,0.7,1.3,1.6603113646551146,8.100000000000001,3.95,3.9000000000000004,3.95,5.9
6.9,9.1,1.6,2.8,1.1,1.6,0.9,1.0,5.300000000000001,4.918023596952921,2.9000000000000004,3.75,2.9000000000000004,5.85
5.1,7.7,1.3,2.5,1.5,1.4,1.1,0.6,0.0,3.3127055238633925,1.7999999999999998,3.1500000000000004,1.7999999999999998,5.050000000000001
5.2,6.2,2.9,1.8,1.2,1.1,1.2,1.4,0.0,3.5172407446944067,2.0,2.55,2.0,4.15
5.2,5.9,1.4,2.4,1.3,1.0,1.2,0.7,2.575932258963143,3.5000000000000004,1.9500000000000002,2.45,1.9500000000000002,1.2500000000000002
5.2,8.1,2.2,1.1,1.6,1.9,0.8,1.1,0.05607955445838275,0.0,1.8,3.0999999999999996,3.9000000000000004,3.0999999999999996
5.0,6.9,2.6,1.7,1.4,1.8,0.7,1.4,1.5003305211266253,5.2,1.8,2.5500000000000003,0.6000000000000001,2.5500000000000003
7.8,7.9,2.2,1.6,1.4,1.9,1.0,1.2,5.6,3.1572659605290117,3.2,3.0,3.2,1.3
9.4,9.7,1.9,2.9,1.1,1.8,1.3,1.4,3.6598142886600846,0.0,4.15,3.9499999999999997,5.75,3.9499999999999997
9.6,5.0,1.1,2.3,1.3,1.2,1.0,1.3,3.302193630626845,2.7,4.1499999999999995,1.9,2.6499999999999995,1.9
8.2,8.6,1.5,1.3,1.0,1.4,0.5,0.8,5.315260658072515,7.3,3.5999999999999996,3.5999999999999996,3.5999999999999996,2.3
